,Symbol,slope_after,full_slope,gender_for_SA
0,APD,0.006572904029142022,0.006572904029142022,2.0
1,AES,0.00028097679236523256,0.00028097679236523256,2.0
2,AVB,-0.0017175857836574833,-0.0017175857836574833,2.0
3,DAL,-0.004694150658165533,-0.004557218162332739,2.0
4,gm,-0.007050811548587933,-0.007050811548587933,1.0
5,NWL,-0.00480265631237374,0.003711134184004236,2.0
6,SO,0.00814804606455647,0.00814804606455647,2.0
7,BWA,-0.004694943788782073,-0.004484226807044773,2.0
8,TROW,0.006557701452597654,0.006556457192714317,2.0
9,key,-0.0012322723894499037,-0.0012322723894499037,1.0
10,PCAR,0.002655067604911877,0.002655067604911877,2.0
11,SBAC,0.009638849164858696,0.009638849164858696,2.0
12,msft,0.010916180240730499,0.010916180240730499,2.0
13,ALXN,-0.009341723177153947,-0.009500104023999135,2.0
14,BXP,-0.0033452287327132486,-0.0033452287327132486,2.0
15,STT,0.0032931904456598876,0.0032931904456598876,2.0
16,pep,0.006438075081493603,0.006438075081493603,2.0
17,BLL,0.004679094315657973,0.004679094315657973,2.0
18,BAC,0.0009051324224715987,0.0009051324224715987,2.0
19,WMT,0.06693377531668643,0.00987900816663296,2.0
20,DIS,-0.0009302792346742486,-0.0009302792346742486,2.0
21,MHK,-0.004725989369925512,-0.004725989369925512,2.0
22,AKAM,0.010244838826458762,0.010244838826458762,2.0
23,BIIB,0.00978100392318423,0.008406828358266148,2.0
24,CPB,0.010665683184207974,0.0109335207289144,2.0
25,ALB,-0.0024142776897065426,-0.0024142776897065426,2.0
26,BAX,0.007294083963865863,0.007352488239654577,2.0
27,BDX,0.019728675867480894,0.004406391873229854,2.0
28,BRK-B,0.0016080796724653973,0.0016080796724653973,2.0
29,BBY,0.008151470269395437,0.004357791109043943,1.0
30,NUE,0.015370595311992865,-0.006962643161440981,2.0
31,SEE,-0.009240547112547973,-0.009175028182758518,2.0
32,UPS,-0.0005379706101267916,-0.0005379706101267916,2.0
33,ADM,-0.0011524722834514516,-0.0011524722834514516,2.0
34,CBOE,0.0036483276408897786,0.0036483276408897786,2.0
35,LMT,0.00691440693564396,0.008332510162312588,1.0
36,MSI,0.004410684558840111,0.004410684558840111,2.0
37,NTRS,0.0006495437636265381,0.0003800301198275779,2.0
38,NOC,0.006510017752638105,0.007381403258021106,1.0
39,UNH,0.007218786708927347,0.007218786708927347,2.0
40,M,-0.009523699659743907,-0.009563832666559314,2.0
41,PG,0.008807997350928423,0.008807997350928423,2.0
42,PGR,0.0001225833293536155,0.0001225833293536155,2.0
43,SHW,0.00806786135560793,0.008073655770088232,2.0
44,AFL,-0.004380975288413624,-0.004380975288413624,2.0
45,CMI,-0.0004943320285123602,-0.0004943320285123602,2.0
46,MNST,0.003701542548724216,0.003701542548724216,2.0
47,ATO,0.0077010541244019156,0.0048862456526223945,2.0
48,LUV,-0.0030304898012503616,-0.0030304898012503616,2.0
49,TXN,0.0036208792432512187,0.0036208792432512187,2.0
50,ABMD,-0.010422441864930755,-0.010422441864930755,2.0
51,ACN ,0.004147530645022656,0.004147530645022656,2.0
52,F,-0.007583657624616986,-0.007087181800072302,2.0
53,CAT,-0.0008019934744044679,-0.001004606397190254,2.0
54,CF,-0.004555452372490658,-0.004555452372490658,2.0
55,MDLZ,0.003424743400613936,0.0043108281471685,2.0
56,AAPL,0.010735453932710238,0.010735453932710238,2.0
57,DVA,0.012684057175622557,0.010657159059408136,2.0
58,NEM,0.014949492811799485,0.009362780969491504,2.0
59,DUK,0.0016205108382877258,0.0016205108382877258,2.0
60,CAH,0.007707393642103433,0.00657266999456171,2.0
61,CHRW,-0.008754969435723833,-0.008786728076746506,2.0
62,GD,-0.00299814384856334,-0.00299814384856334,1.0
63,ZTS,-0.0017601637977308988,0.00967622993322798,1.0
64,CMS,0.008077340645801118,0.008077340645801118,2.0
65,KO,0.00462810230261631,0.00462810230261631,2.0
66,AAL,-0.007806077438484754,-0.007806077438484754,2.0
67,DHI,0.004844341799170555,0.004844341799170555,2.0
68,AVY,0.005386103047188739,0.005255297482182506,2.0
69,ULTA,-0.008945089992578042,-0.008945089992578042,1.0
70,APA,-0.007120005710297644,-0.007120005710297644,2.0
71,BKR,-0.0069782361497252015,-0.007388953710839786,2.0
72,COG,-0.009925413004646444,-0.009925413004646444,2.0
73,CNP,-0.00927969251753436,-0.008011102182866967,2.0
74,NOV,-0.006616101157241414,-0.006616101157241414,2.0
75,NBL,-0.007114403769342761,-0.007114403769342761,2.0
76,SYY,-0.005539115004955275,-0.0006844959605826637,2.0
77,SPG,-0.008421553254910358,-0.008421553254910358,2.0
78,CE,-0.002582305829138088,-0.0010273140806277483,1.0
79,XOM,0.011335971308549627,-0.008939197763973714,2.0
80,AJG,0.00609967496481064,0.00609967496481064,2.0
81,CSX,-0.004805825243630231,-0.004695247643219648,2.0
82,VZ,0.0010118912794236223,0.0010118912794236223,2.0
83,NEE,0.010369059551132116,0.010369059551132116,2.0
84,SYK,-1.7737982023282628e-05,-1.7737982023282628e-05,2.0
85,SNA,-0.004244908757253984,-0.004244908757253984,2.0
86,BR,-0.003200640893743905,-0.0012865237016738253,2.0
87,CDW,0.010582179533376552,0.005965119060939527,1.0
88,MA,0.0075567462265203975,0.0075567462265203975,2.0
89,CBRE,0.002521318678312921,0.002521318678312921,2.0
90,NFLX,2.2649326544682343e-05,2.2649326544682343e-05,2.0
91,BF-B,0.008954707619780154,0.008860619613605493,2.0
92,LNT,0.0060945933935541525,0.007912673248138035,2.0
93,BSX,0.00046462738189527567,0.00046462738189527567,2.0
94,CSCO,-0.009435538716336277,-0.009435538716336277,2.0
95,HSY,0.006702136854566487,0.007239689882890383,1.0
96,AZO,0.0007525331698499139,0.0007525331698499139,2.0
97,MAA,0.005809649851193202,0.005809649851193202,2.0
98,NI,-0.003527645471947437,-0.003527645471947437,2.0
99,CCL,-0.007630124341758306,-0.007630124341758306,2.0
100,RCL,-0.005445733200025771,-0.005445733200025771,2.0
101,FANG,-0.008658394291190781,-0.008658394291190781,2.0
102,KSS,-0.008719127939766461,-0.008719127939766461,1.0
103,AEP,0.004976566589194353,0.004976566589194353,2.0
104,AXP,-0.002187546016758955,-0.0019394992627799388,2.0
105,AIG,-0.004342705613641771,-0.003917778983193844,2.0
106,AMT,0.009426331739112632,0.009426331739112632,2.0
107,AWK,0.009287865012426096,0.009287865012426096,2.0
108,AMP,0.0011299219603061088,0.0011299219603061088,2.0
109,ABC,0.008125530384435172,0.008125530384435172,2.0
110,AME,0.0028175407183321545,0.0028641229097635572,2.0
111,AMGN,0.009441876718483766,0.009441876718483766,2.0
112,APH,-0.0003504270344060352,-0.0003504270344060352,2.0
113,ADI,-2.4604958005115887e-05,-2.4604958005115887e-05,2.0
114,ANSS,0.010775165959739574,0.01064782444424385,2.0
115,ANTM,-0.0005810126162129618,-0.0015462497208050463,1.0
116,AON,0.006072871987772588,0.006072871987772588,2.0
117,INTC,0.008494211228701377,0.0072952623796630825,2.0
118,TGT,0.009674173124355714,0.009674173124355714,2.0
119,DE,0.0005798720125191906,0.00039138995867188023,2.0
120,CTL,0.0034734172966627308,0.0027829175534554063,2.0
121,SWK,0.00035678686984004764,0.0003720134604686146,2.0
122,JNJ,0.0037696728268761448,0.0037696728268761448,2.0
123,ANET,-0.009569710093028911,-0.009569710093028911,2.0
124,AIZ,0.007243841678492529,0.007243841678492529,2.0
125,T,0.005564077997309697,0.005564077997309697,2.0
126,BLK,0.005454262122459078,0.005454262122459078,2.0
127,BA,-0.0060501624910039645,-0.00694741605552605,2.0
128,BMY,0.009872442606335033,0.009872442606335033,2.0
129,CPRI,-0.007923715629371055,-0.007923715629371055,2.0
130,CMCSA,-0.0002838008484611289,-0.0002838008484611289,2.0
131,GS,0.0021994310617930854,0.00201479736456293,2.0
132,MCO,0.009968726663107656,0.009968726663107656,2.0
133,MS,0.0020820632340721014,0.0020820632340721014,2.0
134,MSCI,0.010132077909966408,0.010132077909966408,2.0
135,NWSA,-0.0013691128115171064,-0.0013691128115171064,2.0
136,NLSN,-0.008729458415506165,-0.009368240887805331,2.0
137,OMC,-0.005119402990238597,-0.005119402990238597,2.0
138,RL,-0.005023483980415884,-0.005376976788754794,2.0
139,SPGI,0.009877629498555637,0.009877629498555637,2.0
140,SLG,-0.0043027990308569415,-0.0043027990308569415,2.0
141,TTWO,0.007430278706893854,0.007430278706893854,2.0
142,TPR,-0.0036236784885984637,-0.007901344460829185,2.0
143,VRTX,-0.1822257970492528,0.009932957537396701,1.0
144,V,0.00709613692736684,0.007271159883724563,2.0
145,CMG,0.005440669352804169,0.0058396969854333704,2.0
146,IBM,-0.009291280416029115,-0.003770612226787398,1.0
147,NSC,-0.0030522929296093906,-0.0030522929296093906,2.0
148,ABT,0.0059612897416551165,0.0059612897416551165,2.0
149,ABBV,0.0051036914210167116,0.0051036914210167116,2.0
150,CERN,0.003852992674962563,0.0050125573919658105,2.0
151,ALL,0.005666638614331853,0.005666638614331853,2.0
152,GOOGL,-0.0003489832633390059,0.007286566118792589,2.0
153,BKNG,-0.001916236610763896,-0.0017605383682937918,2.0
154,DVN,-0.008707686558950583,-0.008707686558950583,2.0
155,DRI,-0.005811638559290178,-0.005811638559290178,2.0
156,VTR,-0.006359301959246309,-0.006359301959246309,1.0
157,ARE,0.006805974289431304,0.006805974289431304,2.0
158,GPS,-0.016382853886244792,-0.0091172261560549,1.0
159,ADS,-0.01187171088863661,-0.009920577958270197,2.0
160,NRG,-0.004213235787357961,-0.004348300623892963,2.0
161,TXT,-0.0075214171278393084,-0.0075214171278393084,2.0
162,HD,0.005442038582298255,0.005442038582298255,2.0
163,AAP,-0.007082806105242835,-0.006963006180760011,2.0
164,AMD,0.010663323123730173,0.010663323123730173,2.0
165,ORLY,0.001646230973914318,0.001646230973914318,2.0
166,NVR,0.004332963909159569,0.004332963909159569,2.0
167,OXY,-0.009575298540974069,-0.009575298540974069,2.0
168,MO,-0.007058961861100521,-0.007791377569202198,2.0
169,AMZN,0.004710502800667244,0.004710502800667244,2.0
170,KMX,0.0027997498428163725,0.0032388348241253148,2.0
171,DFS,-0.004722037897772351,-0.00425138092678808,2.0
172,ADP,-0.0009135921174776236,-0.0009135921174776236,2.0
173,REG,-0.011371974947899231,-0.006519864131094825,1.0
174,SRE,0.003497002231380492,0.003655377651656212,2.0
175,SCHW,-0.0012229109123282607,-0.0012229109123282607,2.0
176,DLR,0.006763157490378981,0.006763157490378981,2.0
177,CRM,0.003803191838025329,0.003803191838025329,2.0
178,WFC,-0.0036531423607041595,-0.0036531423607041595,2.0
179,ALGN,-0.004450708215462868,-0.004450708215462868,2.0
180,AVGO,-0.0008770671213037163,-0.0008770671213037163,2.0
181,CDNS,0.00438024469722518,0.00438024469722518,2.0
182,PYPL,0.0007935175532086241,0.0007935175532086241,2.0
183,BEN,-0.002297087604097941,-0.009996465173628939,1.0
184,ADSK,0.004416338653734967,0.0043725525193895436,2.0
185,A,0.0040641683991134905,0.0040641683991134905,2.0
186,AIV,-0.002904829538835068,-0.002904829538835068,2.0
187,AMAT,0.009283325926293676,0.009283325926293676,2.0
188,NVDA,0.010044762274640467,0.010044762274640467,2.0
189,NOW,0.012200940186300972,0.007318219127810745,2.0
190,SIVB,-0.0022939607904465817,-0.0022939607904465817,2.0
191,SYF,-0.0044276954882361075,-0.0044276954882361075,1.0
192,ATVI,0.010941521542826406,0.010941521542826406,2.0
193,ADBE,0.009341638791388737,0.009341638791388737,2.0
194,ROST,0.003525699455183337,0.003525699455183337,2.0
195,ALK,-0.0029913026488782735,-0.0029913026488782735,2.0
196,FB,0.004142418098698677,0.004142418098698677,2.0
197,JWN,-0.0228858887154295,-0.004450994360149574,2.0
198,SBUX,0.0009138860544372261,0.0009138860544372261,2.0
199,CNC,0.005718429227737404,0.005718429227737404,2.0
200,AEE,0.005353887678211184,0.005353887678211184,2.0
201,MMM,-0.006845238958019811,-0.00790270128619884,2.0
202,AOS,-0.006190501363294544,-0.006673633524845412,2.0
203,CVX,0.01275234513051098,-0.007051731490655202,2.0
204,FTNT,0.008407320392609908,0.008407320392609908,2.0
205,NTAP,-0.007365777779619478,-0.007365777779619478,2.0
206,NLOK,-0.00735456363830678,-0.00044212204092162626,2.0
207,ODFL,0.011180198140250758,0.010801273265526988,2.0
208,OKE,-0.003617947244362022,-0.003617947244362022,2.0
209,ORCL,-0.0029137927023443278,-0.0029137927023443278,2.0
210,COF,-0.0012257831917774238,-0.0012257831917774238,2.0
211,NKE,0.012214647814775388,0.005570396992438021,2.0
212,DHR,0.008688451565798117,0.008688451565798117,2.0
213,TFX,0.006300301532046819,0.006256502428858589,2.0
214,SWKS,0.008106762093371415,0.007879269723645693,2.0
215,CVS,0.008344515907195817,0.008344515907195817,2.0
216,XRAY,-0.0024181874807941827,-0.0020409205889648564,2.0
